"targets","layer","title","description","citation","units","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique"
"pressures","cc_slr","Sea level rise (SLR)","TODO: see John P's documentation for specifics","","pressure_score","cc_slr_2013.csv","rgn_id",,,,"pressure_score",,TRUE,5.51248910833575e-06,0.000825506825442928,TRUE,,,,204
"pressures","cc_sst","Sea surface temperature (SST) anomalies","","7.58","pressure_score","cc_sst_2013.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.909090909090909,TRUE,,,,204
"pressures","cc_uv","UV radiation","","7.69","pressure_score","cc_uv_2013.csv","rgn_id",,,,"pressure_score",,TRUE,0.601021494082126,0.909090909090909,TRUE,,,,204
"pressures","fp_art_hb","Artisanal fishing: high bycatch","","7.02","pressures.score","p_fp_art_hb_disaggregateNature2012.csv","rgn_id",,,,"pressures.score",,TRUE,1.295083288e-05,0.25366568914956,TRUE,,,,204
"pressures","fp_art_lb","Artisanal fishing: low bycatch","EEZ","7.03","pressure_score","fp_art_lb_2013.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.909090909090909,TRUE,,,,204
"pressures","fp_com_hb","Commercial fishing: high bycatch","","7.11","pressure_score","fp_com_hb_2013.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.18820895,TRUE,,,,204
"pressures","fp_com_lb","Commercial fishing: low bycatch","","7.12","pressure_score","fp_com_lb_2013.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.1690305,TRUE,,,,204
"pressures","fp_targetharvest","Targeted harvest","pressures_score","7.63","score","rgn_fao_targeted_2013a_rescaled.csv","rgn_id",,,,"score",,TRUE,0,0.909090909090909,TRUE,,,,204
"pressures","hd_intertidal","Habitat destruction: intertidal","","7.24","pressure_score","hd_intertidal_2013.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.530149,TRUE,,,,204
"pressures","hd_subtidal_hb","Habitat destruction: subtidal hard bottom","","7.25","value","p_hd_subtidal_hb_v2013a.csv","rgn_id",,,,"value",,TRUE,1.3e-05,0.253665689,TRUE,,,,204
"pressures","hd_subtidal_sb","Habitat destruction: subtidal soft bottom","","7.26","pressures.score","po_rgn_hd_subtidal_sb_2013a.csv","rgn_id",,,,"pressures.score",,TRUE,0,0.992856206,TRUE,,,,204
"pressures","po_chemicals","Chemical pollution","EEZ","7.06-7.08","pressure_score","po_chemicals_2013.csv","rgn_id",,,,"pressure_score",,TRUE,0.000133491581905408,0.764782278905096,TRUE,,,,204
"pressures","po_chemicals_3nm","Chemical pollution","coastal","7.06-7.09","pressure_score","po_chemicals_3nm_2013.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.631873593517296,TRUE,,,,204
"pressures","po_nutrients","Nutrient pollution","EEZ","7.51","pressure_score","po_nutrients_2013.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.334982,TRUE,,,,204
"pressures","po_nutrients_3nm","Nutrient pollution","coastal","7.51","pressure_score","po_nutrients_3nm_2013.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.341163,TRUE,,,,204
"pressures","po_pathogens","Pathogen pollution","pressures_score","7.53","pressure_score","po_pathogens_sanitation2011_popninland25km2013.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.909090909090909,TRUE,,,,204
"pressures","po_trash","Trash pollution","pressures_score","7.67","pressure_score","po_trash2012.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.909090909090909,TRUE,,,,204
"pressures","sp_alien","Alien species","pressures_score","7.01","pressures.score","p_sp_alien_2013a.csv","rgn_id",,,,"pressures.score",,TRUE,0,1,TRUE,,,,204
"pressures","sp_genetic","Genetic escapes","","7.22","pressures.score","GenEsc_v2013a.csv","rgn_id",,,,"pressures.score",,TRUE,0,1,TRUE,,,,204
"pressures","ss_wgi","Worldwide Governance Indicators (WGI)","pressures_score (1 - wgi_all)","7.7","score","rgn_wb_wgi_2013a_rescaled_inverse.csv","rgn_id",,,,"score",,TRUE,0.128125372616126,0.959156983820862,TRUE,,,,204
"regions","cn_cntry_rgn","Reporting units","regions per country","3","rgn_id","cntry_rgn_2013.csv",,"cntry_key",,,"rgn_id",,TRUE,1,250,FALSE,,,,204
"regions","cnk_cntry_georegions","Reporting units","georegions per country, at 3 georegion levels","3","georgn_id","cntry_georegions_long_2013b.csv",,"cntry_key","level",,"georgn_id",,TRUE,1,999,FALSE,,,,204
"regions","rn_rgn_area","Reporting units","region in water area","3","area_km2","rgn_fao_gcs_area.csv","rgn_id",,,,"area_km2",,TRUE,9.46355858358,31057239.8303,FALSE,,,,204
"regions","rn_rgn_area_inland1km","Reporting units","inland area 1 mile from shore","3","area_km2","rgn_area_inland1km.csv","rgn_id",,,,"area_km2",,TRUE,1.7465015431603,163643.701591034,FALSE,,,,204
"regions","rn_rgn_area_offshore3nm","Reporting units","offshore area 3 nautical miles from shore","3","area_km2","rgn_area_offshore3nm.csv","rgn_id",,,,"area_km2",,TRUE,10.4790092589618,629255.77349294,FALSE,,,,204
"regions","rnk_rgn_georegions","Reporting units","georegions per region, at 3 georegion levels","3","georgn_id","rgn_georegions_long_2013b.csv","rgn_id",,"level",,"georgn_id",,TRUE,1,999,FALSE,,,,204
"regions","rtk_rgn_georegion_labels","Reporting units","georegions per region, at 3 georegion levels","3","label","rgn_georegions_labels_long_2013b.csv","rgn_id",,"level",,,"label",TRUE,,,,,,,204
"regions","rnk_rgn_global","Reporting units","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","3","label","rgn_global.csv","rgn_id",,"type",,,"label",TRUE,,,,,,,204
"regions","rtk_rgn_labels","Reporting units","regions by type (eez, subocean, unclaimed) and label","3","label","rgn_labels.csv","rgn_id",,"type",,,"label",TRUE,,,,,,,204
"resilience","alien_species","Alien species","resilience score","7.01","resilience score","r_alien_species_Nature2012disaggregated.csv","rgn_id",,,,"resilience.score",,TRUE,0,1,TRUE,,,,204
"resilience","cites","Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories","resilience score","7.16","resilience score","r_cites_2013a.csv","rgn_id",,,,"resilience.score",,TRUE,0,1,TRUE,,,,204
"resilience","fishing_v1","Convention on Biological Diversity (CBD) survey","fishing v1 (coastal)","7.14","resilience score","r_fishing_v1_2013a.csv","rgn_id",,,,"resilience.score",,TRUE,0.241538566918161,0.892453964007202,TRUE,,,,204
"resilience","fishing_v1_eez","Convention on Biological Diversity (CBD) survey","fishing v1 (EEZ)","7.14","resilience score","r_fishing_v1_eez_2013a.csv","rgn_id",,,,"resilience.score",,TRUE,0.190061654351495,0.803602501344025,TRUE,,,,204
"resilience","fishing_v2_eez","Convention on Biological Diversity (CBD) survey","fishing v2 (EEZ)","7.14","resilience score","r_fishing_v2_eez_2013a.csv","rgn_id",,,,"resilience.score",,TRUE,0.245046240763621,0.766252150695941,TRUE,,,,204
"resilience","fishing_v3","Convention on Biological Diversity (CBD) survey","fishing v3 (coastal)","7.14","resilience score","r_fishing_v3_2013a.csv","rgn_id",,,,"resilience.score",,TRUE,0.245507455539828,0.901998500191288,TRUE,,,,204
"resilience","fishing_v3_eez","Convention on Biological Diversity (CBD) survey","fishing v3 (EEZ)","7.14","resilience score","r_fishing_v3_eez_2013a.csv","rgn_id",,,,"resilience.score",,TRUE,0.194030542973161,0.812899771097748,TRUE,,,,204
"resilience","habitat","Convention on Biological Diversity (CBD) survey","habitat","7.14","resilience score","r_habitat_2013a.csv","rgn_id",,,,"resilience.score",,TRUE,0.138087289287079,1,TRUE,,,,204
"resilience","habitat_combo","Convention on Biological Diversity (CBD) survey","habitat alternate (coastal)","7.14","resilience score","r_habitat_combo_2013a.csv","rgn_id",,,,"resilience.score",,TRUE,0.123025268,0.99999775,TRUE,,,,204
"resilience","habitat_combo_eez","Convention on Biological Diversity (CBD) survey","habitat alternate (EEZ)","7.14","resilience score","r_habitat_combo_eez_2013a.csv","rgn_id",,,,"resilience.score",,TRUE,0.086045814459742,0.943233237345455,TRUE,,,,204
"resilience","li_gci","Global Competitiveness Index (GCI)","","7.23","score","rgn_wef_gci_2013a_rescaled.csv","rgn_id",,,"year","score",,TRUE,0.303333333333333,0.778333333333333,TRUE,,,,204
"resilience","li_sector_evenness","Sector Evenness","","7.6","resilience score","r_li_sector_evenness_2013a.csv","rgn_id",,,,"resilience.score",,TRUE,0,0.997518269205,TRUE,,,,204
"resilience","mariculture","Convention on Biological Diversity (CBD) survey","mariculture","7.14","resilience score","r_mariculture_2013a.csv","rgn_id",,,,"resilience.score",,TRUE,0.054428393263486,1,TRUE,,,,204
"resilience","msi_gov","Mariculture Sustainability Index (MSI): sustainability and regulations","resilience score","7.3","resilience score","r_msi_gov_2013a.csv","rgn_id",,,,"resilience.score",,TRUE,0.1,0.8576923077,TRUE,,,,204
"resilience","species_diversity","Ecological integrity","EEZ","7.18","score","rgn_spp_score_2013.csv","rgn_id",,,,"score",,TRUE,0.743259450182977,0.930308754120408,TRUE,,,,204
"resilience","species_diversity_3nm","Ecological integrity","coastal","7.18","score","rgn_spp_score_offshore3nm_2013.csv","rgn_id",,,,"score",,TRUE,0.752102387423915,0.943822818112876,TRUE,,,,204
"resilience","tourism","Convention on Biological Diversity (CBD) survey","tourism","7.14","resilience score","r_tourism_2013a.csv","rgn_id",,,,"resilience.score",,TRUE,0,1,TRUE,,,,204
"resilience","water","Convention on Biological Diversity (CBD) survey","water","7.14","resilience score","r_water_2013a.csv","rgn_id",,,,"resilience.score",,TRUE,0,1,TRUE,,,,204
"resilience","wgi_all","Worldwide Governance Indicators (WGI)","resilience score","7.7","score","rgn_wb_wgi_2013a_rescaled.csv","rgn_id",,,,"score",,TRUE,0.040843016179138,0.871874627383874,TRUE,,,,204
"SPP","rn_spp_status","Status of species extinction risk","","6J","score","rgn_spp_score_2013.csv","rgn_id",,,,"score",,TRUE,0.743259450182977,0.930308754120408,TRUE,,,,204
"SPP","rn_spp_trend","Trend in species extinction risk","","6J","score","rgn_spp_trend_2013.csv","rgn_id",,,,"score",,TRUE,-0.464904077028102,0.0977703458133595,FALSE,,,,204
"TR","rn_tr_status","TR status","","6G","status","TourRec_Status_2013a_Sep23b.csv","rgn_id",,,,"status",,TRUE,0,100,FALSE,,,,204
"TR","rn_tr_trend","TR trend","","6G","trend","TourRec_Trend_2013a_Sep23b.csv","rgn_id",,,,"trend",,TRUE,-0.145058067,0.066334047,FALSE,,,,204
