"rgn_id","r0_label","r1_label","r2_label","rgn_label"
136,"Guatemala","Guatemala","Guatemala","Guatemala"
137,"Ecuador","Ecuador","Ecuador","Ecuador"
138,"Peru","Peru","Peru","Peru"
139,"Venezuela","Venezuela","Venezuela","Venezuela"
140,"France","France","France","Guadeloupe and Martinique"
141,"Denmark","Denmark","Denmark","Faeroe Islands"
143,"Iceland","Iceland","Iceland","Iceland"
144,"Norway","Norway","Norway","Jan Mayen"
145,"Denmark","Denmark","Denmark","Greenland"
146,"United Kingdom","United Kingdom","United Kingdom","Pitcairn"
147,"France","France","France","French Polynesia"
148,"Kiribati","Kiribati","Kiribati","Line Group"
149,"United States","United States","United States","Jarvis Island"
150,"United States","United States","United States","Palmyra Atoll"
151,"United States","United States","United States","American Samoa"
152,"Samoa","Samoa","Samoa","Samoa"
153,"New Zealand","New Zealand","New Zealand","Cook Islands"
154,"New Zealand","New Zealand","New Zealand","Niue"
155,"Tonga","Tonga","Tonga","Tonga"
156,"New Zealand","New Zealand","New Zealand","Tokelau"
157,"Kiribati","Kiribati","Kiribati","Phoenix Group"
158,"United States","United States","United States","Howland Island and Baker Island"
159,"United States","United States","United States","Johnston Atoll"
161,"France","France","France","Wallis and Futuna"
162,"New Zealand","New Zealand","New Zealand","New Zealand"
163,"United States","United States","United States","United States"
164,"Belize","Belize","Belize","Belize"
166,"Jamaica","Jamaica","Jamaica","Jamaica"
167,"Guyana","Guyana","Guyana","Guyana"
168,"Suriname","Suriname","Suriname","Suriname"
169,"France","France","France","French Guiana"
171,"Brazil","Brazil","Brazil","Brazil"
172,"Argentina","Argentina","Argentina","Argentina"
173,"Uruguay","Uruguay","Uruguay","Uruguay"
174,"Finland","Finland","Finland","Finland"
175,"Denmark","Denmark","Denmark","Denmark"
176,"Germany","Germany","Germany","Germany"
177,"Netherlands","Netherlands","Netherlands","Netherlands"
178,"Poland","Poland","Poland","Poland"
179,"France","France","France","France"
180,"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
181,"Ireland","Ireland","Ireland","Ireland"
182,"Spain","Spain","Spain","Spain"
183,"Portugal","Portugal","Portugal","Portugal"
184,"Italy","Italy","Italy","Italy"
185,"Monaco","Monaco","Monaco","Monaco"
186,"Montenegro","Montenegro","Montenegro","Montenegro"
187,"Croatia","Croatia","Croatia","Croatia"
188,"Slovenia","Slovenia","Slovenia","Slovenia"
189,"Lithuania","Lithuania","Lithuania","Lithuania"
190,"Qatar","Qatar","Qatar","Qatar"
191,"Iran","Iran","Iran","Iran"
192,"Iraq","Iraq","Iraq","Iraq"
193,"Guinea Bissau","Guinea Bissau","Guinea Bissau","Guinea Bissau"
194,"Guinea","Guinea","Guinea","Guinea"
195,"Ivory Coast","Ivory Coast","Ivory Coast","Ivory Coast"
196,"Nigeria","Nigeria","Nigeria","Nigeria"
197,"Cameroon","Cameroon","Cameroon","Cameroon"
198,"Gabon","Gabon","Gabon","Gabon"
199,"Democratic Republic of the Congo","Democratic Republic of the Congo","Democratic Republic of the Congo","Democratic Republic of the Congo"
200,"Angola","Angola","Angola","Angola"
202,"Tanzania","Tanzania","Tanzania","Tanzania"
203,"India","India","India","India"
204,"Bangladesh","Bangladesh","Bangladesh","Bangladesh"
205,"Myanmar","Myanmar","Myanmar","Myanmar"
206,"Malaysia","Malaysia","Malaysia","Malaysia"
207,"Vietnam","Vietnam","Vietnam","Vietnam"
208,"Singapore","Singapore","Singapore","Singapore"
209,"China","China","China","China"
210,"Japan","Japan","Japan","Japan"
212,"Kiribati","Kiribati","Kiribati","Kiribati"
214,"Egypt","Egypt","Egypt","Egypt"
215,"Jordan","Jordan","Jordan","Jordan"
216,"Indonesia","Indonesia","Indonesia","Indonesia"
218,"Canada","Canada","Canada","Canada"
219,"France","France","France","Saint Pierre and Miquelon"
220,"Netherlands","Netherlands","Netherlands","Sint Maarten"
221,"France","France","France","Northern Saint-Martin"
222,"Sweden","Sweden","Sweden","Sweden"
223,"Norway","Norway","Norway","Norway"
224,"Chile","Chile","Chile","Chile"
227,"United Kingdom","United Kingdom","United Kingdom","Jersey"
228,"United Kingdom","United Kingdom","United Kingdom","Guernsey"
231,"East Timor","East Timor","East Timor","East Timor"
232,"Bosnia and Herzegovina","Bosnia and Herzegovina","Bosnia and Herzegovina","Bosnia and Herzegovina"
237,"East Timor","East Timor","East Timor","Oecussi Ambeno"
244,"Netherlands","Netherlands","Netherlands","Curacao"
245,"Netherlands","Netherlands","Netherlands","Bonaire"
247,"Brunei","Brunei","Brunei","Brunei"
248,"Netherlands","Netherlands","Netherlands","Saba"
249,"Netherlands","Netherlands","Netherlands","Sint Eustatius"
250,"Netherlands","Netherlands","Netherlands","Aruba"
