"country_id","category","value"
"BEN","159i",0
"BEN","159j",0
"BEN","159k",1
"BEN","159l",0
"BEN","160b",0
"BEN","160c",0
"BEN","160d",0
"BEN","160e",0
"BEN","79x",0
"BEN","80x",0
"BEN","82x",0.666666666667
"BFA","153a",0
"BFA","153b",0
"BFA","153c",0
"BFA","153d",0
"BFA","153e",0
"BFA","153f",0
"BFA","153g",0
"BFA","158a",0
"BFA","158b",0
"BFA","158c",0
"BFA","158d",0
"BFA","158f",0
"BFA","158g",0
"BFA","158h",0
"BFA","159a",0
"BFA","159b",0
"BFA","159c",0
"BFA","159e",0
"BFA","159f",0
"BFA","159g",0
"BFA","159h",0
"BFA","159i",0
"BFA","159j",0
"BFA","159k",0
"BFA","159l",0
"BFA","160b",0
"BFA","160c",0
"BFA","160d",0
"BFA","160e",0
"BFA","79x",0
"BFA","80x",0
"BFA","82x",0
"BGD","153a",1
"BGD","153b",1
"BGD","153c",1
"BGD","153d",1
"BGD","153e",1
"BGD","153f",1
"BGD","153g",1
"BGD","158a",1
"BGD","158b",1
"BGD","158c",0
"BGD","158d",1
"BGD","158f",0
"BGD","158g",0
"BGD","158h",0
"BGD","159a",0
"BGD","159b",0
"BGD","159c",0
"BGD","159e",0
"BGD","159f",0
"BGD","159g",0
"BGD","159h",0
"BGD","159i",0
"BGD","159j",0
"BGD","159k",0
"BGD","159l",0
"BGD","160b",0
"BGD","160c",0
"BGD","160d",0
"BGD","160e",0
"BGD","79x",0.333333333333
"BGD","80x",0.5
"BGD","82x",0
"BGR","153a",0
"BGR","153b",0
"BGR","153c",0
"BGR","153d",0
"BGR","153e",0
"BGR","153f",0
"BGR","153g",0
"BGR","158a",0
"BGR","158b",0
"BGR","158c",0
"BGR","158d",0
"BGR","158f",0
"BGR","158g",0
"BGR","158h",0
"BGR","159a",0
"BGR","159b",0
"BGR","159c",0
"BGR","159e",0
"BGR","159f",0
"BGR","159g",0
"BGR","159h",0
"BGR","159i",0
"BGR","159j",0
"BGR","159k",0
"BGR","159l",0
"BGR","160b",0
"BGR","160c",0
"BGR","160d",0
"BGR","160e",0
"BGR","79x",0
"BGR","80x",0
"BGR","82x",0
"BHR","153a",0
"BHR","153b",0
"BHR","153c",0
"BHR","153d",0
"BHR","153e",0
"BHR","153f",0
"BHR","153g",0
"BHR","158a",0
"BHR","158b",0
"BHR","158c",0
"BHR","158d",0
"BHR","158f",0
"BHR","158g",0
"BHR","158h",0
"BHR","159a",0
"BHR","159b",0
"BHR","159c",0
"BHR","159e",0
"BHR","159f",0
"BHR","159g",0
"BHR","159h",0
"BHR","159i",0
"BHR","159j",0
"BHR","159k",0
"BHR","159l",0
"BHR","160b",0
"BHR","160c",0
"BHR","160d",0
"BHR","160e",0
"BHR","79x",0
"BHR","80x",0
"BHR","82x",0
"BHS","153a",1
"BHS","153b",1
"BHS","153c",0
"BHS","153d",1
"BHS","153e",1
"BHS","153f",0
"BHS","153g",0
"BHS","158a",1
"BHS","158b",0
"BHS","158c",0
"BHS","158d",1
"BHS","158f",1
"BHS","158g",1
"BHS","158h",0
"BHS","159a",1
"BHS","159b",1
"BHS","159c",1
"BHS","159e",0
"BHS","159f",0
"BHS","159g",1
"BHS","159h",1
"BHS","159i",0
"BHS","159j",0
"BHS","159k",1
"BHS","159l",0
"BHS","160b",0
"BHS","160c",0
"BHS","160d",1
"BHS","160e",1
"BHS","79x",0
"BHS","80x",1
"BHS","82x",0.333333333333
"BIH","153a",0
"BIH","153b",0
"BIH","153c",0
"BIH","153d",0
"BIH","153e",0
"BIH","153f",0
"BIH","153g",0
"BIH","158a",0
"BIH","158b",0
"BIH","158c",0
"BIH","158d",0
"BIH","158f",0
"BIH","158g",0
"BIH","158h",0
"BIH","159a",0
"BIH","159b",0
"BIH","159c",0
"BIH","159e",0
"BIH","159f",0
"BIH","159g",1
"BIH","159h",0
"BIH","159i",0
"BIH","159j",0
"BIH","159k",0
"BIH","159l",0
"BIH","160b",0
"BIH","160c",0
"BIH","160d",0
"BIH","160e",0
"BIH","79x",0
"BIH","80x",0
"BIH","82x",0
"BLR","153a",0
"BLR","153b",0
"BLR","153c",0
"BLR","153d",0
"BLR","153e",0
"BLR","153f",0
"BLR","153g",0
"BLR","158a",0
"BLR","158b",0
"BLR","158c",0
"BLR","158d",0
"BLR","158f",0
"BLR","158g",0
"BLR","158h",0
"BLR","159a",0
"BLR","159b",0
"BLR","159c",0
"BLR","159e",0
"BLR","159f",0
"BLR","159g",0
"BLR","159h",0
"BLR","159i",0
"BLR","159j",0
"BLR","159k",0
"BLR","159l",0
"BLR","160b",0
"BLR","160c",0
"BLR","160d",0
"BLR","160e",0
"BLR","79x",0.666666666667
"BLR","80x",0.5
"BLR","82x",0.666666666667
"BLZ","153a",1
"BLZ","153b",1
"BLZ","153c",1
"BLZ","153d",0
"BLZ","153e",1
"BLZ","153f",0
"BLZ","153g",1
"BLZ","158a",1
"BLZ","158b",1
"BLZ","158c",1
"BLZ","158d",1
"BLZ","158f",1
"BLZ","158g",1
"BLZ","158h",1
"BLZ","159a",1
"BLZ","159b",0
"BLZ","159c",1
"BLZ","159e",1
"BLZ","159f",0
"BLZ","159g",0
"BLZ","159h",1
"BLZ","159i",0
"BLZ","159j",1
"BLZ","159k",0
"BLZ","159l",0
"BLZ","160b",0
"BLZ","160c",0
"BLZ","160d",1
"BLZ","160e",0
"BLZ","79x",0.333333333333
"BLZ","80x",1
"BLZ","82x",0.666666666667
"BOL","153a",0
"BOL","153b",0
"BOL","153c",0
"BOL","153d",0
"BOL","153e",0
"BOL","153f",0
"BOL","153g",0
"BOL","158a",0
"BOL","158b",0
"BOL","158c",0
"BOL","158d",0
"BOL","158f",0
"BOL","158g",0
"BOL","158h",0
"BOL","159a",0
"BOL","159b",0
"BOL","159c",0
"BOL","159e",0
"BOL","159f",0
"BOL","159g",0
"BOL","159h",0
"BOL","159i",0
"BOL","159j",0
"BOL","159k",0
"BOL","159l",0
"BOL","160b",0
"BOL","160c",0
"BOL","160d",0
"BOL","160e",0
"BOL","79x",0
"BOL","80x",0
"BOL","82x",0
"BRA","153a",1
"BRA","153b",1
"BRA","153c",1
"BRA","153d",1
"BRA","153e",1
"BRA","153f",1
"BRA","153g",1
"BRA","158a",1
"BRA","158b",1
"BRA","158c",0
"BRA","158d",0
"BRA","158f",1
"BRA","158g",1
"BRA","158h",0
"BRA","159a",1
"BRA","159b",0
"BRA","159c",0
"BRA","159e",1
"BRA","159f",0
"BRA","159g",1
"BRA","159h",0
"BRA","159i",0
"BRA","159j",0
"BRA","159k",0
"BRA","159l",0
"BRA","160b",1
"BRA","160c",0
"BRA","160d",1
"BRA","160e",0
"BRA","79x",0.333333333333
"BRA","80x",1
"BRA","82x",0.666666666667
"BRB","153a",1
"BRB","153b",1
"BRB","153c",1
"BRB","153d",1
"BRB","153e",1
"BRB","153f",1
"BRB","153g",1
"BRB","158a",1
"BRB","158b",1
"BRB","158c",1
"BRB","158d",1
"BRB","158f",1
"BRB","158g",1
"BRB","158h",1
"BRB","159a",1
"BRB","159b",1
"BRB","159c",1
"BRB","159e",0
"BRB","159f",0
"BRB","159g",0
"BRB","159h",0
"BRB","159i",0
"BRB","159j",0
"BRB","159k",0
"BRB","159l",1
"BRB","160b",1
"BRB","160c",0
"BRB","160d",1
"BRB","160e",0
"BRB","79x",0.666666666667
"BRB","80x",0
"BRB","82x",0
"BRN","153a",0
"BRN","153b",0
"BRN","153c",0
"BRN","153d",0
"BRN","153e",0
"BRN","153f",0
"BRN","153g",0
"BRN","158a",0
"BRN","158b",0
"BRN","158c",0
"BRN","158d",0
"BRN","158f",0
"BRN","158g",0
"BRN","158h",0
"BRN","159a",0
"BRN","159b",0
"BRN","159c",0
"BRN","159e",0
"BRN","159f",0
"BRN","159g",0
"BRN","159h",0
"BRN","159i",0
"BRN","159j",0
"BRN","159k",0
"BRN","159l",0
"BRN","160b",0
"BRN","160c",0
"BRN","160d",0
"BRN","160e",0
"BRN","79x",0
"BRN","80x",0
"BRN","82x",0
"BTN","153a",0
"BTN","153b",0
"BTN","153c",0
"BTN","153d",0
"BTN","153e",0
"BTN","153f",0
"BTN","153g",0
"BTN","158a",0
"BTN","158b",0
"BTN","158c",0
"BTN","158d",0
"BTN","158f",0
"BTN","158g",0
"BTN","158h",0
"BTN","159a",0
"BTN","159b",0
"BTN","159c",0
"BTN","159e",0
"BTN","159f",0
"BTN","159g",0
"BTN","159h",0
"BTN","159i",0
"BTN","159j",0
"BTN","159k",0
"BTN","159l",0
"BTN","160b",0
"BTN","160c",0
"BTN","160d",0
"BTN","160e",0
"BTN","79x",0.333333333333
"BTN","80x",0.5
"BTN","82x",0.333333333333
"BWA","153a",0
"BWA","153b",0
"BWA","153c",0
"BWA","153d",0
"BWA","153e",0
"BWA","153f",0
"BWA","153g",0
"BWA","158a",0
"BWA","158b",0
"BWA","158c",0
"BWA","158d",0
"BWA","158f",0
"BWA","158g",0
"BWA","158h",0
"BWA","159a",0
"BWA","159b",0
"BWA","159c",0
"BWA","159e",0
"BWA","159f",0
"BWA","159g",0
"BWA","159h",0
"BWA","159i",0
"BWA","159j",0
"BWA","159k",0
"BWA","159l",0
"BWA","160b",0
"BWA","160c",0
"BWA","160d",0
"BWA","160e",0
"BWA","79x",0.666666666667
"BWA","80x",1
"BWA","82x",1
"CAF","153a",0
"CAF","153b",0
"CAF","153c",0
"CAF","153d",0
"CAF","153e",0
"CAF","153f",0
"CAF","153g",0
"CAF","158a",0
"CAF","158b",0
"CAF","158c",0
"CAF","158d",0
"CAF","158f",0
"CAF","158g",0
"CAF","158h",0
"CAF","159a",0
"CAF","159b",0
"CAF","159c",0
"CAF","159e",0
"CAF","159f",0
"CAF","159g",0
"CAF","159h",0
"CAF","159i",0
"CAF","159j",0
"CAF","159k",0
"CAF","159l",0
"CAF","160b",0
"CAF","160c",0
"CAF","160d",0
"CAF","160e",0
"CAF","79x",0.333333333333
"CAF","80x",0.5
"CAF","82x",0.666666666667
"CAN","153a",1
"CAN","153b",1
"CAN","153c",1
"CAN","153d",0
"CAN","153e",1
"CAN","153f",0
"CAN","153g",1
"CAN","158a",1
"CAN","158b",1
"CAN","158c",1
"CAN","158d",1
"CAN","158f",0
"CAN","158g",0
"CAN","158h",0
"CAN","159a",1
"CAN","159b",1
"CAN","159c",1
"CAN","159e",1
"CAN","159f",1
"CAN","159g",1
"CAN","159h",1
"CAN","159i",1
"CAN","159j",1
"CAN","159k",1
"CAN","159l",1
"CAN","160b",1
"CAN","160c",0
"CAN","160d",0
"CAN","160e",0
"CAN","79x",0.666666666667
"CAN","80x",1
"CAN","82x",1
"CHE","153a",0
"CHE","153b",0
"CHE","153c",0
