"dimension","region_id","region_label","score_o","score","score_dif"
"status",112,"Cuba",19.57,21.2237107054847,1.65371070548472
"status",173,"Uruguay",27.2,28.8512997187269,1.65129971872686
"status",71,"Bulgaria",33.01,34.6550783952255,1.64507839522553
"status",138,"Peru",19.67,21.2414123718425,1.57141237184247
"status",72,"Romania",18.28,19.680605984125,1.40060598412499
"status",191,"Iran",11.89,13.2803924296635,1.39039242966353
"status",15,"Philippines",15.94,17.324125640771,1.384125640771
"status",197,"Cameroon",8.2,9.5652178683857,1.3652178683857
"status",224,"Chile",24.14,25.5038534312441,1.36385343124412
"status",171,"Brazil",26.4,27.7284731228561,1.32847312285615
"status",50,"Saudi Arabia",20.05,21.3648233087678,1.3148233087678
"status",79,"Israel",24.96,26.2704702563575,1.31047025635746
"status",69,"Latvia",27.95,29.2458709640946,1.29587096409462
"status",66,"Senegal",16.49,15.2010592585899,-1.28894074141011
"status",200,"Angola",7.5,8.75190566290458,1.25190566290458
"status",188,"Slovenia",32.85,34.0471232357768,1.19712323577678
"status",137,"Ecuador",13.51,14.6741408375019,1.16414083750189
"status",75,"Ukraine",13.95,15.0950623671247,1.14506236712467
"status",49,"Sudan",9.62,10.7250936881663,1.10509368816632
"status",116,"Puerto Rico and Virgin Islands of the United States",20.86,21.9256860613492,1.0656860613492
"status",67,"Libya",8.77,9.77600765464547,1.00600765464547
"status",81,"Cyprus",47.14,48.1327546836428,0.992754683642822
"status",210,"Japan",21.87,22.853920554526,0.983920554525955
"status",98,"Togo",5.8,6.78177569419159,0.981775694191593
"status",184,"Italy",49.55,50.4362227613379,0.886222761337905
"status",183,"Portugal",73.32,74.2059237163834,0.885923716383431
"status",76,"Turkey",19.04,19.9066831363626,0.866683136362632
"status",192,"Iraq",13.63,14.4868071251773,0.856807125177344
"status",70,"Estonia",37.5,38.3262846866557,0.826284686655718
"status",73,"Russia",12.06,12.8626407983146,0.802640798314565
"status",223,"Norway",51.55,52.3270634205932,0.777063420593194
"status",189,"Lithuania",15.77,16.5384851027547,0.768485102754703
