"cntry_key","level","georgn_id"
"IRL","r2",154
"IRN","r2",34
"IRQ","r2",145
"ISL","r2",154
"ISR","r2",145
"ITA","r2",39
"JAM","r2",29
"Jarvis Island","r2",57
"JEY","r2",154
"Johnston Atoll","r2",57
"JOR","r2",145
"JPN","r2",30
"Juan de Nova Island","r2",14
"KEN","r2",14
"Kerguelen Islands","r2",999
"KHM","r2",35
"KIR","r2",57
"KNA","r2",29
"KOR","r2",30
"KWT","r2",145
"LBN","r2",145
"LBR","r2",11
"LBY","r2",15
"LCA","r2",29
"Line Group","r2",57
"LKA","r2",34
"LTU","r2",154
"LVA","r2",154
"Macquarie Island","r2",53
"Madeira","r2",39
"MAF","r2",29
"Malaysia","r2",35
"MAR","r2",15
"MCO","r2",155
"MDG","r2",14
"MDV","r2",34
"MEX","r2",13
"MHL","r2",57
"MLT","r2",39
"MMR","r2",35
"MNP","r2",57
"MOZ","r2",14
"MRT","r2",11
"MSR","r2",29
"MTQ","r2",29
"MUS","r2",14
"MYT","r2",14
"NAM","r2",18
"NCL","r2",54
"NFK","r2",53
"NGA","r2",11
"NIC","r2",13
"NIU","r2",61
"NLD","r2",155
"NOR","r2",154
"NRU","r2",57
"NZL","r2",53
"Oecussi Ambeno","r2",35
"OMN","r2",145
"PAK","r2",34
"Palmyra Atoll","r2",57
"PAN","r2",13
"PCN","r2",61
"PER","r2",5
"PHL","r2",35
"Phoenix Group","r2",57
"PLW","r2",57
"PNG","r2",54
"POL","r2",151
"PRI","r2",29
"Prince Edward Islands","r2",999
"PRK","r2",30
"PRT","r2",39
"PYF","r2",61
"QAT","r2",145
"REU","r2",14
"ROU","r2",151
"RUS","r2",151
"Saba","r2",29
"SAU","r2",145
"SCG","r2",39
"SDN","r2",15
"SEN","r2",11
"SGP","r2",35
"SGS","r2",999
"SHN","r2",154
"Sint Eustatius","r2",29
"SJM","r2",154
"SLB","r2",54
"SLE","r2",11
"SLV","r2",13
"SOM","r2",14
"Southern Saint-Martin","r2",29
"SPM","r2",21
"STP","r2",17
"SUR","r2",5
"SVN","r2",39
"SWE","r2",154
"SYC","r2",14
"SYR","r2",145
"TCA","r2",29
"TGO","r2",11
"THA","r2",35
"TKL","r2",61
"TLS","r2",35
"TON","r2",61
"Trindade","r2",5
"Tristan da Cunha","r2",154
"TTO","r2",29
"TUN","r2",15
"TUR","r2",145
"TUV","r2",61
"TWN","r2",30
"TZA","r2",14
"UKR","r2",151
"URY","r2",5
"USA","r2",21
"VCT","r2",29
"VEN","r2",5
"VGB","r2",29
"VIR","r2",29
"VNM","r2",35
"VUT","r2",54
"Wake Island","r2",57
"WLF","r2",61
"WSM","r2",61
"YEM","r2",145
"ZAF","r2",18
"AGO","r1",2
"AIA","r1",419
"Alaska","r1",19
"ALB","r1",150
"Amsterdam Island and Saint Paul Island","r1",999
"Andaman and Nicobar","r1",142
"ARE","r1",142
"ARG","r1",419
"Aruba","r1",419
"Ascension","r1",150
"ASM","r1",9
"ATG","r1",419
"AUS","r1",9
"Azores","r1",150
"Bassas da India","r1",2
"BEL","r1",150
"BEN","r1",2
"BGD","r1",142
"BGR","r1",150
"BHR","r1",142
"BHS","r1",419
"BIH","r1",150
"BLZ","r1",419
"BMU","r1",419
"Bonaire","r1",419
"BRA","r1",419
"BRB","r1",419
"Brunei","r1",142
"BVT","r1",999
"CAN","r1",19
"Canary Islands","r1",150
"CCK","r1",9
"CHL","r1",419
"CHN","r1",142
"CIV","r1",2
"Clipperton Island","r1",419
"CMR","r1",2
"COD","r1",2
"COG","r1",2
"COK","r1",9
"COL","r1",419
"COM","r1",2
"CPV","r1",2
"CRI","r1",419
"Crozet Islands","r1",999
"CUB","r1",419
"Curacao","r1",419
"CXR","r1",9
"CYM","r1",419
"CYP","r1",142
"DEU","r1",150
"DJI","r1",2
"DMA","r1",419
"DNK","r1",150
"DOM","r1",419
"DZA","r1",2
"Easter Island","r1",419
"ECU","r1",419
"EGY","r1",2
"ERI","r1",2
"ESH","r1",2
"ESP","r1",150
"EST","r1",150
"FIN","r1",150
"FJI","r1",9
"FLK","r1",150
"FRA","r1",150
"FRO","r1",150
"FSM","r1",9
"GAB","r1",2
"Galapagos Islands","r1",419
"GBR","r1",150
"GEO","r1",142
"GGY","r1",150
"GHA","r1",2
"GIB","r1",150
"GIN","r1",2
"Glorioso Islands","r1",2
"GLP","r1",419
"GMB","r1",2
"GNB","r1",2
"GNQ","r1",2
"GRC","r1",150
"GRD","r1",419
"GRL","r1",150
"GTM","r1",419
"GUF","r1",419
"GUM","r1",9
"GUY","r1",419
"Hawaii","r1",19
"HMD","r1",999
"HND","r1",419
"Howland Island and Baker Island","r1",9
"HRV","r1",150
"HTI","r1",419
"IDN","r1",142
"Ile Europa","r1",2
"Ile Tromelin","r1",2
"IND","r1",142
"IOT","r1",142
"IRL","r1",150
"IRN","r1",142
"IRQ","r1",142
"ISL","r1",150
"ISR","r1",142
"ITA","r1",150
"JAM","r1",419
"Jarvis Island","r1",9
"JEY","r1",150
"Johnston Atoll","r1",9
"JOR","r1",142
"JPN","r1",142
"Juan de Nova Island","r1",2
"KEN","r1",2
"Kerguelen Islands","r1",999
"KHM","r1",142
"KIR","r1",9
"KNA","r1",419
"KOR","r1",142
"KWT","r1",142
"LBN","r1",142
"LBR","r1",2
"LBY","r1",2
"LCA","r1",419
"Line Group","r1",9
"LKA","r1",142
"LTU","r1",150
"LVA","r1",150
"Macquarie Island","r1",9
"Madeira","r1",150
"MAF","r1",419
"Malaysia","r1",142
"MAR","r1",2
"MCO","r1",150
"MDG","r1",2
"MDV","r1",142
"MEX","r1",419
"MHL","r1",9
"MLT","r1",150
"MMR","r1",142
"MNP","r1",9
"MOZ","r1",2
"MRT","r1",2
"MSR","r1",419
"MTQ","r1",419
"MUS","r1",2
"MYT","r1",2
"NAM","r1",2
"NCL","r1",9
"NFK","r1",9
"NGA","r1",2
"NIC","r1",419
"NIU","r1",9
"NLD","r1",150
"NOR","r1",150
"NRU","r1",9
"NZL","r1",9
"Oecussi Ambeno","r1",142
"OMN","r1",142
"PAK","r1",142
"Palmyra Atoll","r1",9
"PAN","r1",419
"PCN","r1",9
"PER","r1",419
"PHL","r1",142
"Phoenix Group","r1",9
"PLW","r1",9
"PNG","r1",9
"POL","r1",150
"PRI","r1",419
"Prince Edward Islands","r1",999
"PRK","r1",142
"PRT","r1",150
"PYF","r1",9
"QAT","r1",142
"REU","r1",2
"ROU","r1",150
"RUS","r1",150
"Saba","r1",419
"SAU","r1",142
"SCG","r1",150
"SDN","r1",2
"SEN","r1",2
"SGP","r1",142
"SGS","r1",999
"SHN","r1",150
"Sint Eustatius","r1",419
"SJM","r1",150
"SLB","r1",9
"SLE","r1",2
"SLV","r1",419
"SOM","r1",2
"Southern Saint-Martin","r1",419
"SPM","r1",19
"STP","r1",2
"SUR","r1",419
"SVN","r1",150
"SWE","r1",150
"SYC","r1",2
"SYR","r1",142
"TCA","r1",419
"TGO","r1",2
"THA","r1",142
"TKL","r1",9
"TLS","r1",142
"TON","r1",9
"Trindade","r1",419
"Tristan da Cunha","r1",150
"TTO","r1",419
"TUN","r1",2
"TUR","r1",142
"TUV","r1",9
"TWN","r1",142
"TZA","r1",2
"UKR","r1",150
"URY","r1",419
"USA","r1",19
"VCT","r1",419
"VEN","r1",419
"VGB","r1",419
"VIR","r1",419
"VNM","r1",142
"VUT","r1",9
"Wake Island","r1",9
"WLF","r1",9
"WSM","r1",9
"YEM","r1",142
"ZAF","r1",2
"AGO","r0",1
"AIA","r0",1
"Alaska","r0",1
"ALB","r0",1
"Amsterdam Island and Saint Paul Island","r0",1
"Andaman and Nicobar","r0",1
"ARE","r0",1
"ARG","r0",1
"Aruba","r0",1
"Ascension","r0",1
"ASM","r0",1
"ATG","r0",1
"AUS","r0",1
"Azores","r0",1
"Bassas da India","r0",1
"BEL","r0",1
"BEN","r0",1
"BGD","r0",1
"BGR","r0",1
"BHR","r0",1
"BHS","r0",1
"BIH","r0",1
"BLZ","r0",1
"BMU","r0",1
"Bonaire","r0",1
"BRA","r0",1
"BRB","r0",1
"Brunei","r0",1
"BVT","r0",1
"CAN","r0",1
"Canary Islands","r0",1
"CCK","r0",1
"CHL","r0",1
"CHN","r0",1
"CIV","r0",1
"Clipperton Island","r0",1
"CMR","r0",1
"COD","r0",1
"COG","r0",1
"COK","r0",1
"COL","r0",1
"COM","r0",1
"CPV","r0",1
"CRI","r0",1
"Crozet Islands","r0",1
"CUB","r0",1
"Curacao","r0",1
"CXR","r0",1
"CYM","r0",1
"CYP","r0",1
"DEU","r0",1
"DJI","r0",1
"DMA","r0",1
"DNK","r0",1
"DOM","r0",1
"DZA","r0",1
"Easter Island","r0",1
"ECU","r0",1
"EGY","r0",1
"ERI","r0",1
"ESH","r0",1
"ESP","r0",1
"EST","r0",1
"FIN","r0",1
"FJI","r0",1
"FLK","r0",1
"FRA","r0",1
"FRO","r0",1
"FSM","r0",1
"GAB","r0",1
"Galapagos Islands","r0",1
"GBR","r0",1
"GEO","r0",1
"GGY","r0",1
"GHA","r0",1
"GIB","r0",1
"GIN","r0",1
"Glorioso Islands","r0",1
"GLP","r0",1
"GMB","r0",1
"GNB","r0",1
"GNQ","r0",1
"GRC","r0",1
"GRD","r0",1
"GRL","r0",1
"GTM","r0",1
"GUF","r0",1
"GUM","r0",1
"GUY","r0",1
"Hawaii","r0",1
"HMD","r0",1
"HND","r0",1
"Howland Island and Baker Island","r0",1
"HRV","r0",1
"HTI","r0",1
"IDN","r0",1
"Ile Europa","r0",1
"Ile Tromelin","r0",1
"IND","r0",1
"IOT","r0",1
"IRL","r0",1
"IRN","r0",1
"IRQ","r0",1
"ISL","r0",1
"ISR","r0",1
"ITA","r0",1
"JAM","r0",1
"Jarvis Island","r0",1
"JEY","r0",1
"Johnston Atoll","r0",1
"JOR","r0",1
"JPN","r0",1
"Juan de Nova Island","r0",1
"KEN","r0",1
"Kerguelen Islands","r0",1
"KHM","r0",1
"KIR","r0",1
"KNA","r0",1
"KOR","r0",1
"KWT","r0",1
"LBN","r0",1
"LBR","r0",1
"LBY","r0",1
"LCA","r0",1
"Line Group","r0",1
"LKA","r0",1
"LTU","r0",1
"LVA","r0",1
"Macquarie Island","r0",1
"Madeira","r0",1
"MAF","r0",1
"Malaysia","r0",1
"MAR","r0",1
"MCO","r0",1
"MDG","r0",1
"MDV","r0",1
"MEX","r0",1
"MHL","r0",1
"MLT","r0",1
"MMR","r0",1
"MNP","r0",1
"MOZ","r0",1
"MRT","r0",1
"MSR","r0",1
"MTQ","r0",1
"MUS","r0",1
"MYT","r0",1
"NAM","r0",1
"NCL","r0",1
"NFK","r0",1
"NGA","r0",1
"NIC","r0",1
"NIU","r0",1
"NLD","r0",1
"NOR","r0",1
"NRU","r0",1
"NZL","r0",1
"Oecussi Ambeno","r0",1
"OMN","r0",1
"PAK","r0",1
"Palmyra Atoll","r0",1
"PAN","r0",1
"PCN","r0",1
"PER","r0",1
"PHL","r0",1
"Phoenix Group","r0",1
"PLW","r0",1
"PNG","r0",1
"POL","r0",1
"PRI","r0",1
"Prince Edward Islands","r0",1
"PRK","r0",1
"PRT","r0",1
"PYF","r0",1
"QAT","r0",1
"REU","r0",1
"ROU","r0",1
"RUS","r0",1
"Saba","r0",1
"SAU","r0",1
"SCG","r0",1
"SDN","r0",1
"SEN","r0",1
"SGP","r0",1
"SGS","r0",1
"SHN","r0",1
"Sint Eustatius","r0",1
"SJM","r0",1
"SLB","r0",1
"SLE","r0",1
"SLV","r0",1
"SOM","r0",1
"Southern Saint-Martin","r0",1
"SPM","r0",1
"STP","r0",1
"SUR","r0",1
"SVN","r0",1
"SWE","r0",1
"SYC","r0",1
"SYR","r0",1
"TCA","r0",1
"TGO","r0",1
"THA","r0",1
"TKL","r0",1
"TLS","r0",1
"TON","r0",1
"Trindade","r0",1
"Tristan da Cunha","r0",1
"TTO","r0",1
"TUN","r0",1
"TUR","r0",1
"TUV","r0",1
"TWN","r0",1
"TZA","r0",1
"UKR","r0",1
"URY","r0",1
"USA","r0",1
"VCT","r0",1
"VEN","r0",1
"VGB","r0",1
"VIR","r0",1
"VNM","r0",1
"VUT","r0",1
"Wake Island","r0",1
"WLF","r0",1
"WSM","r0",1
"YEM","r0",1
"ZAF","r0",1
