"target","layer","name","description","citation_2012n","citation_2013a","fld_value","units","gapfilling","X2013a_source","children","children_notes","disaggregation.function","updated","still.to.do.with.2013a.file.","dir_2012a","fn_2012a","dir_2013a","fn_2013a","ingest","fn_nature2012","id_num","id_chr","category","year","value_num","value_chr"
"FIS_NP","rn_fis_status","Fisheries status","Modeled fisheries status based on the Sea Around Us Project ","6A","5.2","status","status score",,,"new",,,"L",,"neptune_data:model/GL-NCEAS_FIS_v2012a","FIS_Status_2012a_lyr.csv","neptune_data:model/GL-NCEAS_FIS_v2013a","FIS_Status_2013a_lyr.csv",FALSE,,,,,,,
"FP","rn_fp_wildcaught_weight","Fisheries weighting factor","Proportional yield of wild caught fisheries","6A","5.2","w_fis","value",,"2012a","new",,,"U",,"neptune_data:model/GL-NCEAS_FIS_v2012a","GL_FP_wildcaught_weight_v2012a_lyr.csv","neptune_data:model/GL-NCEAS_FIS_v2013a","GL_FP_wildcaught_weight_v2013a_lyr.csv",TRUE,,,,,,,
"HAB_CS_CP","rnk_hab_extent","Habitat extent","Modeled combined habitat extent","6J",,"km2","km^2",,"2012a","new",,,"N",,"neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habtitat_extent_NewSeaIce_2012.csv","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habtitat_extent_NewSeaIce.csv",TRUE,,,,,,,
"HAB_CS_CP","rnk_hab_health","Habitat health","Modeled combined habitat health condition trend","6J",,"health","value",,"2012a","parent","use same methods as for CP and CS",,"N",,"neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_health_2012.csv","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_health.csv",TRUE,,,,,,,
"HAB_CS_CP","rnk_hab_trend","Habitat health trend","Modeled combined habitat health trend","6J",,"trend","trend score",,"2012a","parent",,,"N",,"neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_trend_2012.csv","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_trend.csv",TRUE,,,,,,,
"ICO","rnk_ico_spp_extinction_status","IUCN extinction risk category for iconic species","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","7.27","5.29","category","category",,,"new",,,"N",,"neptune_data:model/GL-NCEAS-IconicSpecies_v2013/data","ico_spp_extinction_status.csv","neptune_data:model/GL-NCEAS-IconicSpecies_v2013/data","ico_spp_extinction_status.csv",TRUE,,,,,,,
"ICO","rnk_ico_spp_popn_trend","IUCN population trend as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","7.27","5.29","popn_trend","trend score",,,"new",,,"N",,"neptune_data:model/GL-NCEAS-IconicSpecies_v2013/data","ico_spp_popn_trend.csv","neptune_data:model/GL-NCEAS-IconicSpecies_v2013/data","ico_spp_popn_trend.csv",TRUE,,,,,,,
"LE","cnky_eco_rev","Revenue from marine industries","Statistics on revenue for six marine industries","6F","5.41-4.46","USD","$US",,,"new",,"NA (updated data)","U",,"neptune_data:model/GL-NCEAS-Livelihoods_v2013a/data","eco_rev_2012a.csv","neptune_data:model/GL-NCEAS-Livelihoods_v2013a/data","eco_rev_2013a.csv",,"eco_rev.csv",,"country_id","sector","year","usd",
"LE","cnky_eco_rev_whence","Revenue from marine industries: supporting data","Statistics on revenue for six marine industries: supporting data","6F","5.41-4.46","USD","$US",,"2012a","coastal_pop",,"NA (updated data)","U",,"neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","eco_rev_whence.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","eco_rev_whence.csv",,"eco_rev_whence.csv",,"country_id","whence","year","usd",
"LE","cnky_liv_jobs","Jobs in marine industries","Statistics on job counts for five marine industries","6F","5.35-5.39","jobs","jobs",,"2012a","coastal_pop",,"NA (updated data)","N",,"neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","liv_jobs.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","liv_jobs.csv",,"liv_jobs.csv",,"country_id","sector","year","jobs",
"LE","cnky_liv_wages","Wages adjusted by sector","Wages adjusted by sector","6F","5.48","USD","$US",,"new","parent",,"NA (updated data)","U","like nature2012 file, 2012a and 2013a files are not temporally or spatially gapfilled (but it has been passed through na.omit) Assuming that any gapfilling occurs later. 2012a has 34 unique rgn_id's and 2013a has 39.","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","liv_wages.csv","neptune_data:model/GL-NBER-OWW_v2008/data","rgn_nber_oww_2013_nofill.csv",,"liv_wages.csv",,"country_id","sector","year","usd",
"LE","cnky_liv_wages_adj_lilo","Wages with adjustment","Wages with adjustment","6F","5.48","adj","value",,"2012a","parent",,"NA (updated data)","U",,"neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","liv_wages_adj_lilo.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","liv_wages_adj_lilo.csv",,"liv_wages_adj_lilo.csv",,"country_id","whence","year","adj",
"LE","cny_ao_ppp","Purchasing power parity as a proxy for subsistence fishing need, by country","Purchasing power parity","6B","5.5","ppp","value",,"new","new",,"NA (updated data)","U",,"neptune_data:model/GL-WorldBank-Statistics_v2012/data","cntry_wb_ppp_2012a.csv","neptune_data:model/GL-WorldBank-Statistics_v2012/data","cntry_wb_ppp_2013a.csv",,"ao_ppp.csv",,"country_id",,"year","ppp",
"LE","cny_le_workforcesize_adj","Labor force size","Size of the labor force as defined by the International Labour Organisation (ILO)","6F","5.31","jobs","count",,"2012a","coastal_pop",,"NA (updated data)","U",,"neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","le_workforcesize_adj.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","le_workforcesize_adj.csv",,"le_workforcesize_adj.csv",,"country_id",,"year","jobs",
"LE","le_gdp_pc_ppp","Modeled Livelihoods & Economies data","gross domestic product per person at purchasing power parity","6F",,"usd","USD",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_cntry_gdp_pc_ppp_2013a.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_cntry_gdp_pc_ppp_2013a.csv",TRUE,,,,,,,
"LE","le_jobs_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_cur_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_cur_adj_value.csv",TRUE,,,,,,,
"LE","le_jobs_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_cur_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_cur_base_value.csv",TRUE,,,,,,,
"LE","le_jobs_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_ref_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_ref_adj_value.csv",TRUE,,,,,,,
"LE","le_jobs_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_ref_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_ref_base_value.csv",TRUE,,,,,,,
"LE","le_rev_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_cur_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_cur_adj_value.csv",TRUE,,,,,,,
"LE","le_rev_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_cur_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_cur_base_value.csv",TRUE,,,,,,,
"LE","le_rev_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_ref_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_ref_adj_value.csv",TRUE,,,,,,,
"LE","le_rev_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_ref_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_ref_base_value.csv",TRUE,,,,,,,
"LE","le_revenue_adj","Modeled Livelihoods & Economies data","adjusted revenue","6F",,"usd","USD",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_revenue_adj.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_revenue_adj.csv",TRUE,,,,,,,
"LE","le_wage_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_cur_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_cur_adj_value.csv",TRUE,,,,,,,
"LE","le_wage_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_cur_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_cur_base_value.csv",TRUE,,,,,,,
"LE","le_wage_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_ref_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_ref_adj_value.csv",TRUE,,,,,,,
"LE","le_wage_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_ref_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_ref_base_value.csv",TRUE,,,,,,,
"LE","le_workforcesize_adj","Modeled Livelihoods & Economies data","adjusted workforce size","6F",,"jobs","jobs",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_workforcesize_adj.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_workforcesize_adj.csv",TRUE,,,,,,,
"LE_pressures","rnk_le_sector_weight","Jobs weighting","Jobs weighting by sector (defaulting to 1)","6F",,"weight","value",,"2012a","parent","this layer is borrowed directly from nature2012 and simply disaggregated","NA","N",,"neptune_data:model/GL-NCEAS-Pressures_v2013a/data","le_sector_weight_disaggregateNature2012b.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","le_sector_weight_disaggregateNature2012b.csv",TRUE,"le_sector_weight.csv","region_id",,"sector",,"weight",
"LIV_ECO","rn_liveco_status","Modeled livelihoods and economies status","Modeled livelihoods and economies status based on new approach",,"5.41-5.46","value","status score",,,,,,,,"neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","rgn_liv.eco_status_2012a.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","rgn_liv.eco_status_2013a.csv",TRUE,,,,,,,
"LIV_ECO","rn_liveco_trend","Modeled livelihoods and economies trend","Modeled livelihoods and economies trend based on new approach",,"5.41-5.46","value","trend score",,,,,,,,"neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","rgn_liv.eco_trend_2012a.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","rgn_liv.eco_trend_2013a.csv",TRUE,,,,,,,
"LIV_ECO","rny_le_popn","Total population by subregion","Population data from The World Bank",,"5.71","count","count",,,,,,,,"neptune_data:model/GL-WorldBank-Statistics_v2012/data","rgn_wb_pop_2013a_updated.csv","neptune_data:model/GL-WorldBank-Statistics_v2012/data","rgn_wb_pop_2013a_updated.csv",TRUE,,,,,,,
"LSP","rny_lsp_prot_area_inland1km","Coastal protected areas inland 1km","Coastal protected areas inland to 1km","6H","5.4","area_km2","km^2",,"2012a","new",,,"U",,"neptune_data:model/GL-WDPA-MPA_v2013/data","lsp_prot_area_inland1km.csv","neptune_data:model/GL-WDPA-MPA_v2013/data","lsp_prot_area_inland1km.csv",TRUE,"lsp_prot_area_inland1km.csv","region_id",,,"year","km2",
"LSP","rny_lsp_prot_area_offshore3nm","Coastal marine protected areas offshore 3km","Coastal marine protected areas offshore to 3nm","6H","5.4","area_km2","km^2",,"2012a","new",,,"U",,"neptune_data:model/GL-WDPA-MPA_v2013/data","lsp_prot_area_offshore3nmb.csv","neptune_data:model/GL-WDPA-MPA_v2013/data","lsp_prot_area_offshore3nmb.csv",TRUE,"lsp_prot_area_offshore3nm.csv","region_id",,,"year","km2",
"7","mar_coastalpopn_inland25mi","Coastal population inland 25 miles","Coastal population inland 25 miles by year (2005-2015)",,,"popsum","people",,,,,,,,"neptune_data:model/GL-NCEAS-CoastalPopulation_v2013/data","rgn_popsum2005to2015_inland25mi.csv","neptune_data:model/GL-NCEAS-CoastalPopulation_v2013/data","rgn_popsum2005to2015_inland25mi.csv",TRUE,,,,,,,
"MAR","mar_harvest_species","Mariculture species harvested",,,,"species","species name",,,,,,,,"neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_harvest_species_lyr.csv","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_harvest_species_lyr.csv",TRUE,,,,,,,
"MAR","mar_harvest_tonnes","Mariculture harvest","Mariculture harvest by species and year",,,"tonnes","tons",,,,,,,,"neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","MAR_harvest_tonnes_lyr.csv","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","MAR_harvest_tonnes_lyr.csv",TRUE,,,,,,,
"MAR","mar_sustainability_score","Mariculture sustainability score","Mariculture sustainability score by species",,,"sust_coeff","sustainability",,,,,,,,"neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_sustainability_score_lyr.csv","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_sustainability_score_lyr.csv",TRUE,,,,,,,
"MAR","mar_trend_years","Mariculter years used for trend",,,,"trend_yrs","year string",,,,,,,,"neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_trend_years_lyr.csv","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_trend_years_lyr.csv",TRUE,,,,,,,
"MAR","rn_mar_status","Mariculture status","Yield and value of cultured marine taxa from marine and brackish water environments","6A","5.34","status","status score",,"new","new",,,"U",,"neptune_data:model/GL-NCEAS_MAR_v2013a/data","GL_NCEAS_MAR_Status_v2012a_lyr.csv","neptune_data:model/GL-NCEAS_MAR_v2013a/data","GL_NCEAS_MAR_Status_v2013a_lyr.csv",FALSE,,,,,,,
"MAR","rn_mar_trend","Mariculture trend","Yield and value of cultured marine taxa from marine and brackish water environments","6A","5.34","trend","trend score",,"new","new",,,"U",,"neptune_data:model/GL-NCEAS_MAR_v2013a/data","GL_NCEAS_MAR_Trend_v2012a_lyr.csv","neptune_data:model/GL-NCEAS_MAR_v2013a/data","GL_NCEAS_MAR_Trend_v2013a_lyr.csv",FALSE,,,,,,,
"NP","rnk_np_sustainability_score","Sustainability of marine resource harvest","Assigned sustainability based on Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) listed species","6C","5.51-5.53","score","value",,"2012a","new",,,"U",,"neptune_data:model/GL-NCEAS-NaturalProducts_v2013a/data","np_sustainability_v2012a_updated_lyr.csv","neptune_data:model/GL-NCEAS-NaturalProducts_v2013a/data","np_sustainability_v2013a_updated_lyr.csv",TRUE,"np_sustainability_score.csv",,"country_id","product","year","score",
"NP","rnky_np_harvest_relative","Harvest of marine resources","Yield and value of six marine resources (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish)","6C","5.51-5.53","score","value",,"new","new",,,"U",,"neptune_data:model/GL-NCEAS-NaturalProducts_v2013a/data","np_harvest_relative_v2013a_updated_lyr_NAmanualoverride.csv","neptune_data:model/GL-NCEAS-NaturalProducts_v2013a/data","np_harvest_relative_v2013a_updated_lyr_NAmanualoverride.csv",TRUE,"np_harvest_relative.csv",,"country_id","product","year","tonnes",
"NP_pressures","rnk_np_weights_combo","Harvest of marine resources: weights","Weighting of marine resource harvest","6C","5.51-5.53","weight","tons",,,"new","reminder: places without NP data are assumed to not harvest, so treated as NA",,"U",,"neptune_data:model/GL-NCEAS-NaturalProducts_v2013a/data","np_weight_combo_2012a_updated_lyr.csv","neptune_data:model/GL-NCEAS-NaturalProducts_v2013a/data","np_weight_combo_2013a_updated_lyr.csv",TRUE,"np_weights_combo.csv",,"country_id","product","year","score",
"pressures","cc_acid","Ocean acidification","Modeled distribution of the aragonite saturation state (AAS) of the ocean in pre-industrial (~1870) and modern times (2000-2009) from Halpern et al. 2008","7.52","5.56","pressure_score","pressure score",,"2012a","new",,"NA (BB calculated children)","N",,"neptune_data:model/GL-NCEAS-Pressures_v2013a/data","cc_acid_2012_NEW.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","cc_acid_2013_NEW.csv",TRUE,"p_cc_acid.csv","region_id",,,,"pressures_score",
"pressures","cc_slr","Sea level rise","Modeled sea level rise after Halpern et al. 2008",,"5.63","pressure_score","pressure score",,,"new",,,"Y",,"neptune_data:model/GL-NCEAS-Pressures_v2013a/data","cc_slr_2012_NEW.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","cc_slr_2013_NEW.csv",TRUE,,,,,,,
"pressures","cc_sst","Sea surface temperature (SST) anomalies","Modeled sea level rise after Halpern et al. 2008","7.58","5.64","pressure_score","pressure score",,,"new",,"NA (updated data)","Y",,"neptune_data:model/GL-NCEAS-Pressures_v2013a/data","cc_sst_2012_NEW.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","cc_sst_2013_NEW.csv",TRUE,"p_cc_sst.csv","region_id",,,,"pressures_score",
"pressures","cc_uv","UV radiation","Modeled UV radiation after Halpern et al. 2008","7.69","5.76","pressure_score","pressure score",,,"new",,"NA (updated data)","Y",,"neptune_data:model/GL-NCEAS-Pressures_v2013a/data","cc_uv_2012_NEW.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","cc_uv_2013_NEW.csv",TRUE,"p_cc_uv.csv","region_id",,,,"pressures_score",
"pressures","fp_art_hb","High bycatch caused by artisanal fishing ","The presence of destructive artisanal blast and poison (cyanide) fishing","7.02","5.02","pressures.score","pressure score",,"2012a","parent",,,"N",,"neptune_data:model/GL-NCEAS-Pressures_v2013a/data","p_fp_art_hb_disaggregateNature2012.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","p_fp_art_hb_disaggregateNature2012.csv",TRUE,"p_fp_art_hb.csv","region_id",,,,"pressures_score",
"pressures","fp_art_lb","Low bycatch caused by artisanal fishing ","Statistics of low bycatch artisanal fishing using non-destructive practices","7.03","5.03","pressure_score","pressure score",,,"coastal_pop",,"coastal-pop-weighted","N",,"neptune_data:model/GL-NCEAS-Pressures_v2013a/data","fp_art_lb_2012_NEW.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","fp_art_lb_2013_NEW.csv",TRUE,"p_fp_art_lb.csv","region_id",,,,"pressures_score",
"pressures","fp_com_hb","High bycatch caused by commercial fishing ","Statistics of destructive commercial fishing practices by 5 different gear types (developed in Halpern et al. 2008)","7.11","5.11","pressure_score","pressure score",,,"new",,"NA (updated data)","Y",,"neptune_data:model/GL-NCEAS-Pressures_v2013a/data","fp_com_hb_2012_NEW.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","fp_com_hb_2013_NEW.csv",TRUE,"p_fp_com_hb.csv","region_id",,,,"pressures_score",
"pressures","fp_com_lb","Low bycatch caused by commercial fishing ","Statistics of least destructive commercial fishing practices by 2 different gear types (developed in Halpern et al. 2008)","7.12","5.12","pressure_score","pressure score",,,"new",,"NA (updated data)","Y",,"neptune_data:model/GL-NCEAS-Pressures_v2013a/data","fp_com_lb_2012_NEW.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","fp_com_lb_2013_NEW.csv",TRUE,"p_fp_com_lb.csv","region_id",,,,"pressures_score",
"pressures","fp_targetharvest","Targeted harvest of cetaceans and sea turtles","Targeted harvest of cetaceans and marine turtles, from Food and Agricultural Organization data","7.63","5.7","score","pressure score",,,"parent","2012a file: all parent values assigned to children","NA (updated data)","Y","convert from harvest count to pressures score","neptune_data:model/GL-FAO-TargetedHarvest_v2011/data","rgn_fao_targeted_2012a_rescaled.csv","neptune_data:model/GL-FAO-TargetedHarvest_v2011/data","rgn_fao_targeted_2013a_rescaled.csv",TRUE,"p_fp_targetharvest.csv","region_id",,,,"pressures_score",
"pressures","hd_intertidal","Coastal population density as a proxy for intertidal habitat destruction","Coastal population density within 10 km of the coast","7.24","5.25","pressure_score","pressure score",,,"coastal_pop",,"coastal-pop-weighted","N",,"neptune_data:model/GL-NCEAS-Pressures_v2013a/data","hd_intertidal_2012_NEW.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","hd_intertidal_2013_NEW.csv",TRUE,"p_hd_intertidal.csv","region_id",,,,"pressures_score",
"pressures","hd_subtidal_hb","High bycatch artisanal fishing practices as a proxy for subtidal hard bottom habitat destruction","The presence of destructive artisanal blast and poison (cyanide) fishing","7.25","5.26","value","pressure score",,"2012a","parent",,,"N",,"neptune_data:model/GL-NCEAS-Pressures_v2013a/data","p_hd_subtidal_hb_v2013a.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","p_hd_subtidal_hb_v2013a.csv",TRUE,"p_hd_subtidal_hb.csv","region_id",,,,"pressures_score",
