Common_name,Scientific_name,Population,Taxon,Range,COSEWIC_Status,Schedule,SARA_status
Acadian Redfish,Sebastes fasciatus,Atlantic population,Fishes,Atlantic Ocean,Threatened,No schedule,No Status
Acadian Redfish,Sebastes fasciatus,Bonne Bay population,Fishes,Atlantic Ocean,Special Concern,No schedule,No Status
American Eel,Anguilla rostrata,,Fishes,"Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Atlantic Ocean",Threatened,No schedule,No Status
American Plaice,Hippoglossoides platessoides,Newfoundland and Labrador population,Fishes,Atlantic Ocean,Threatened,No schedule,No Status
American Plaice,Hippoglossoides platessoides,Maritime population,Fishes,Atlantic Ocean,Threatened,No schedule,No Status
Atlantic Bluefin Tuna,Thunnus thynnus,,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Atlantic Cod,Gadus morhua,,Fishes,Atlantic Ocean,Non-active,Schedule 3,Special Concern
Atlantic Cod,Gadus morhua,Newfoundland and Labrador population,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Atlantic Cod,Gadus morhua,Laurentian North population,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Atlantic Cod,Gadus morhua,Laurentian South population,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Atlantic Cod,Gadus morhua,Southern population,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Atlantic Halibut,Hippoglossus hippoglossus,,Fishes,Atlantic Ocean,Not at Risk,,
Atlantic Mud-piddock,Barnea truncata,,Molluscs,Atlantic Ocean,Threatened,No schedule,No Status
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes,"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Schedule 1,Endangered
Atlantic Salmon,Salmo salar,Lake Ontario population,Fishes,"Ontario, Atlantic Ocean",Extinct,No schedule,No Status
Atlantic Salmon,Salmo salar,Labrador population,Fishes,"Quebec, Newfoundland and Labrador, Atlantic Ocean",Not at Risk,,
Atlantic Salmon,Salmo salar,Northeast Newfoundland population,Fishes,"Newfoundland and Labrador, Atlantic Ocean",Not at Risk,,
Atlantic Salmon,Salmo salar,South Newfoundland population,Fishes,"Newfoundland and Labrador, Atlantic Ocean",Threatened,No schedule,No Status
Atlantic Salmon,Salmo salar,Southwest Newfoundland population,Fishes,"Quebec, Newfoundland and Labrador, Atlantic Ocean",Not at Risk,,
Atlantic Salmon,Salmo salar,Northwest Newfoundland population,Fishes,"Newfoundland and Labrador, Atlantic Ocean",Not at Risk,,
Atlantic Salmon,Salmo salar,Quebec Eastern North Shore population,Fishes,"Quebec, Atlantic Ocean",Special Concern,No schedule,No Status
Atlantic Salmon,Salmo salar,Quebec Western North Shore population,Fishes,"Quebec, Atlantic Ocean",Special Concern,No schedule,No Status
Atlantic Salmon,Salmo salar,Anticosti Island population,Fishes,"Quebec, Atlantic Ocean",Endangered,No schedule,No Status
Atlantic Salmon,Salmo salar,Inner St. Lawrence population,Fishes,"Quebec, Atlantic Ocean",Special Concern,No schedule,No Status
Atlantic Salmon,Salmo salar,Gaspe-Southern Gulf of St. Lawrence population,Fishes,"Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Atlantic Ocean",Special Concern,No schedule,No Status
Atlantic Salmon,Salmo salar,Eastern Cape Breton population,Fishes,"Nova Scotia, Atlantic Ocean",Endangered,No schedule,No Status
Atlantic Salmon,Salmo salar,Nova Scotia Southern Upland population,Fishes,"Nova Scotia, Atlantic Ocean",Endangered,No schedule,No Status
Atlantic Salmon,Salmo salar,Outer Bay of Fundy population,Fishes,"New Brunswick, Atlantic Ocean",Endangered,No schedule,No Status
Atlantic Sturgeon,Acipenser oxyrinchus,St. Lawrence populations,Fishes,"Quebec, Atlantic Ocean",Threatened,No schedule,No Status
Atlantic Sturgeon,Acipenser oxyrinchus,Maritimes populations,Fishes,"New Brunswick, Nova Scotia, Atlantic Ocean",Threatened,No schedule,No Status
Atlantic Walrus,Odobenus rosmarus rosmarus,Northwest Atlantic population,Mammals,"Quebec, New Brunswick, Nova Scotia, Newfoundland and Labrador, Atlantic Ocean",Non-active,Schedule 1,Extirpated
Atlantic White-sided Dolphin,Lagenorhynchus acutus,,Mammals,Atlantic Ocean,Not at Risk,,
Atlantic Wolffish,Anarhichas lupus,,Fishes,"Arctic Ocean, Atlantic Ocean",Special Concern,Schedule 1,Special Concern
Barndoor Skate,Dipturus laevis,,Fishes,Atlantic Ocean,Not at Risk,,
Basking Shark,Cetorhinus maximus,Atlantic population,Fishes,Atlantic Ocean,Special Concern,No schedule,No Status
Beluga Whale,Delphinapterus leucas,St. Lawrence Estuary population,Mammals,"Quebec, Atlantic Ocean",Threatened,Schedule 1,Threatened
Beluga Whale,Delphinapterus leucas,Eastern Hudson Bay population,Mammals,"Nunavut, Quebec, Arctic Ocean, Atlantic Ocean",Endangered,No schedule,No Status
Beluga Whale,Delphinapterus leucas,Ungava Bay population,Mammals,"Quebec, Arctic Ocean, Atlantic Ocean",Endangered,No schedule,No Status
Beluga Whale,Delphinapterus leucas,Western Hudson Bay population,Mammals,"Nunavut, Manitoba, Ontario, Arctic Ocean, Atlantic Ocean",Special Concern,No schedule,No Status
Blainville's Beaked Whale,Mesoplodon densirostris,,Mammals,Atlantic Ocean,Not at Risk,,
Blue Shark,Prionace glauca,Atlantic population,Fishes,Atlantic Ocean,Special Concern,No schedule,No Status
Blue Whale,Balaenoptera musculus,,Mammals,"Pacific Ocean, Atlantic Ocean",Non-active,Schedule 3,Special Concern
Blue Whale,Balaenoptera musculus,Atlantic population,Mammals,Atlantic Ocean,Endangered,Schedule 1,Endangered
Blueback Herring,Alosa aestivalis,,Fishes,"New Brunswick, Nova Scotia, Atlantic Ocean",Not at Risk,,
Common Bottlenose Dolphin,Tursiops truncatus,,Mammals,Atlantic Ocean,Not at Risk,,
Common Minke Whale North Atlantic subspecies,Balaenoptera acutorostrata acutorostrata,,Mammals,Atlantic Ocean,Not at Risk,,
Cusk,Brosme brosme,,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Cuvier's Beaked Whale,Ziphius cavirostris,,Mammals,"Pacific Ocean, Atlantic Ocean",Not at Risk,,
Deepwater Redfish,Sebastes mentella,Northern population,Fishes,Atlantic Ocean,Threatened,No schedule,No Status
Deepwater Redfish,Sebastes mentella,Gulf of St. Lawrence - Laurentian Channel population,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Eelgrass Limpet,Lottia alveus alveus,,Molluscs,Atlantic Ocean,Extinct,,
Fin Whale,Balaenoptera physalus,,Mammals,"Pacific Ocean, Atlantic Ocean",Non-active,Schedule 3,Special Concern
Fin Whale,Balaenoptera physalus,Atlantic population,Mammals,Atlantic Ocean,Special Concern,Schedule 1,Special Concern
Fourhorn Sculpin,Myoxocephalus quadricornis,Salt water form,Fishes,"Pacific Ocean, Arctic Ocean, Atlantic Ocean",Not at Risk,,
Grey Seal,Halichoerus grypus,,Mammals,"Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Atlantic Ocean",Not at Risk,,
Grey Whale,Eschrichtius robustus,Atlantic population,Mammals,Atlantic Ocean,Extirpated,Schedule 1,Extirpated
Harbour Porpoise,Phocoena phocoena,Northwest Atlantic population,Mammals,Atlantic Ocean,Special Concern,Schedule 2,Threatened
Harbour Seal Atlantic and Eastern Arctic subspecies,Phoca vitulina concolor,,Mammals,"Nunavut, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Arctic Ocean, Atlantic Ocean",Not at Risk,,
Hooded Seal,Cystophora cristata,,Mammals,"Arctic Ocean, Atlantic Ocean",Not at Risk,,
Humpback Whale,Megaptera novaeangliae,Western North Atlantic population,Mammals,"Arctic Ocean, Atlantic Ocean",Not at Risk,Schedule 3,Special Concern
Killer Whale,Orcinus orca,Northwest Atlantic / Eastern Arctic population,Mammals,"Arctic Ocean, Atlantic Ocean",Special Concern,No schedule,No Status
Leatherback Sea Turtle,Dermochelys coriacea,,Reptiles,"Pacific Ocean, Atlantic Ocean",Non-active,Schedule 1,Endangered
Leatherback Sea Turtle,Dermochelys coriacea,Atlantic population,Reptiles,Atlantic Ocean,Endangered,No schedule,No Status
Loggerhead Sea Turtle,Caretta caretta,,Reptiles,Atlantic Ocean,Endangered,No schedule,No Status
Long-finned Pilot Whale,Globicephala melas,,Mammals,Atlantic Ocean,Not at Risk,,
North Atlantic Right Whale,Eubalaena glacialis,,Mammals,Atlantic Ocean,Endangered,Schedule 1,Endangered
Northern Bottlenose Whale,Hyperoodon ampullatus,Scotian Shelf population,Mammals,Atlantic Ocean,Endangered,Schedule 1,Endangered
Northern Bottlenose Whale,Hyperoodon ampullatus,Davis Strait-Baffin Bay-Labrador Sea population,Mammals,Atlantic Ocean,Special Concern,No schedule,No Status
Northern Wolffish,Anarhichas denticulatus,,Fishes,"Arctic Ocean, Atlantic Ocean",Threatened,Schedule 1,Threatened
Porbeagle,Lamna nasus,,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Pygmy Sperm Whale,Kogia breviceps,,Mammals,"Pacific Ocean, Atlantic Ocean",Not at Risk,,
Right Whale,Eubalaena glacialis,,Mammals,"Pacific Ocean, Atlantic Ocean",Non-active,Schedule 2,Endangered
Ringed Seal,Phoca hispida,,Mammals,"Arctic Ocean, Atlantic Ocean",Not at Risk,,
Risso's Dolphin,Grampus griseus,,Mammals,"Pacific Ocean, Atlantic Ocean",Not at Risk,,
Roughhead Grenadier,Macrourus berglax,,Fishes,Atlantic Ocean,Special Concern,No schedule,No Status
Roundnose Grenadier,Coryphaenoides rupestris,,Fishes,"Arctic Ocean, Atlantic Ocean",Endangered,No schedule,No Status
Sea Mink,Mustela macrodon,,Mammals,"New Brunswick, Nova Scotia, Atlantic Ocean",Extinct,,
Short-beaked Common Dolphin,Delphinus delphis,,Mammals,"Pacific Ocean, Atlantic Ocean",Not at Risk,,
Shortfin Mako,Isurus oxyrinchus,Atlantic population,Fishes,Atlantic Ocean,Threatened,No schedule,No Status
Smooth Skate,Malacoraja senta,Funk Island Deep population,Fishes,"Newfoundland and Labrador, Atlantic Ocean",Endangered,No schedule,No Status
Smooth Skate,Malacoraja senta,Laurentian-Scotian population,Fishes,"Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Atlantic Ocean",Special Concern,No schedule,No Status
Sowerby's Beaked Whale,Mesoplodon bidens,,Mammals,Atlantic Ocean,Special Concern,Schedule 1,Special Concern
Sperm Whale,Physeter macrocephalus,,Mammals,"Pacific Ocean, Atlantic Ocean",Not at Risk,,
Spiny Dogfish,Squalus acanthias,Atlantic population,Fishes,Atlantic Ocean,Special Concern,No schedule,No Status
Spotted Wolffish,Anarhichas minor,,Fishes,"Arctic Ocean, Atlantic Ocean",Threatened,Schedule 1,Threatened
Striped Bass,Morone saxatilis,Southern Gulf of St. Lawrence population,Fishes,"Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Atlantic Ocean",Special Concern,No schedule,No Status
Striped Bass,Morone saxatilis,Bay of Fundy population,Fishes,"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,No schedule,No Status
Striped Bass,Morone saxatilis,St. Lawrence River population,Fishes,"Quebec, Atlantic Ocean",Endangered,Schedule 1,Extirpated
Striped Dolphin,Stenella coeruleoalba,,Mammals,"Pacific Ocean, Atlantic Ocean",Not at Risk,,
Thorny Skate,Amblyraja radiata,,Fishes,"Nunavut, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Arctic Ocean, Atlantic Ocean",Special Concern,No schedule,No Status
True's Beaked Whale,Mesoplodon mirus,,Mammals,Atlantic Ocean,Not at Risk,,
White Hake,Urophycis tenuis,Southern Gulf of St. Lawrence population,Fishes,Atlantic Ocean,Endangered,,
White Hake,Urophycis tenuis,Atlantic and Northern Gulf of St. Lawrence population,Fishes,Atlantic Ocean,Threatened,,
White Shark,Carcharodon carcharias,Atlantic population,Fishes,Atlantic Ocean,Endangered,Schedule 1,Endangered
White-beaked Dolphin,Lagenorhynchus albirostris,,Mammals,Atlantic Ocean,Not at Risk,,
Winter Skate,Leucoraja ocellata,Southern Gulf of St. Lawrence population,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Winter Skate,Leucoraja ocellata,Eastern Scotian Shelf population,Fishes,Atlantic Ocean,Threatened,No schedule,No Status
Winter Skate,Leucoraja ocellata,Georges Bank-Western Scotian Shelf-Bay of Fundy population,Fishes,Atlantic Ocean,Special Concern,No schedule,No Status
Lobster,Homarus americanus,,Crustacean,Atlantic Ocean,Not Assessed,,Not Assessed
Leather star,Dermasterias imbricata,,Crustacean,Atlantic Ocean,Not Assessed,,Not Assessed
Bald Eagle,Haliaeetus leucocephalus,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Common Loon,Gavia immer,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Pink Salmon,Oncorhynchus gorbuscha,,Fishes,Pacific Ocean,Not Assessed,,Not Assessed
Chum Salmon,Oncorhynchus keta,,Fishes,Pacific Ocean,Not Assessed,,Not Assessed
Steelhead,Oncorhynchus mykiss,,Fishes,Pacific Ocean,Not Assessed,,Not Assessed
