"","name","type","latitude","longitude","population","year","gas","est_RFNB"
"101","Micmacs of Gesgapegiag","First Nations","48.202614179","-65.922951854","89","1979","25.8166666666667","153.690018529429"
"102","Taykwa Tagamou Nation","First Nations","49.006944444","-80.838055556","393","1979","23.95","134.377069819843"
"103","Westbank First Nation","First Nations","49.836111111","-119.608055556","516","1979","23.2083333333333","153.135059414403"
"104","Nazko First Nation","First Nations","52.954223633","-123.583618164","335","1979","23.2083333333333","123.20791109082"
"105","Beecher Bay","First Nations","48.337688","-123.606697","224","1979","23.2083333333333","121.426494940383"
"106","Première Nation Malecite de Viger","First Nations","47.917994282","-69.50759115","29","1979","24.375","123.896153473001"
"107","Cowichan","First Nations","48.776794434","-123.708312988","391","1979","23.2083333333333","122.528094935647"
"108","Eskasoni","First Nations","45.930251534","-60.6452928","364","1979","25.8166666666667","120.941009713165"
"109","Tetlit Gwich'in","First Nations","67.431213379","-134.875488281","84","1979","19.075","210.84508072341"
"110","Metlakatla","First Nations","54.33782959","-130.445373535","529","1979","23.2083333333333","126.112265967859"
"111","Fort Severn","First Nations","55.994566263","-87.61970716","453","1979","22.625","129.306566791049"
"112","Buctouche","First Nations","46.4525","-64.758611111","39","1979","25.8166666666667","121.5687203498"
"113","Sliammon","First Nations","49.897946","-124.607755","10","1979","23.2083333333333","132.437056067607"
"114","Kitselas","First Nations","54.491638184","-128.584106445","437","1979","23.2083333333333","216.481766362956"
"115","Les Innus de Ekuanitshit","First Nations","50.29083252","-64.02130127","429","1979","25.8166666666667","178.195077368478"
"116","Hupacasath First Nation","First Nations","49.265197754","-124.825500488","293","1979","23.2083333333333","197.373020189948"
"117","Kitchenuhmaykoosib Inninuwug","First Nations","53.824274134","-89.875387627","108","1979","22.625","128.46356378482"
"118","Cayoose Creek","First Nations","50.671944444","-121.935","171","1979","23.2083333333333","128.56990172217"
"119","Kitasoo","First Nations","52.583055556","-128.533055556","404","1979","23.2083333333333","180.216760167988"
"120","Ashcroft","First Nations","50.717834473","-121.311584473","256","1979","23.2083333333333","197.414145285443"
"121","Tzeachten","First Nations","49.111327","-121.956911","394","1979","23.2083333333333","216.651785472529"
"122","Quatsino","First Nations","50.61340332","-127.573669434","405","1979","23.2083333333333","126.808448487624"
"123","Nadleh Whuten","First Nations","54.076944444","-124.601111111","409","1979","23.2083333333333","148.256747956628"
"124","Skawahlook First Nation","First Nations","49.356111111","-121.606944444","524","1979","23.2083333333333","235.713502268706"
"125","Moricetown","First Nations","55.01159668","-127.322509766","172","1979","23.2083333333333","223.278732861955"
"126","Fox Lake","First Nations","56.329870819","-94.663388508","37","1979","22.625","126.392378945015"
"127","Webequie","First Nations","52.985229492","-87.282409668","530","1979","22.625","136.924251733066"
"128","Popkum","First Nations","49.208055556","-121.718055556","2","1979","23.2083333333333","126.894921464226"
"129","Atikamekw d'Opitciwan","First Nations","48.666992187","-74.948974609","265","1979","23.95","220.21695211322"
"130","Bear River","First Nations","44.549444444","-65.623611111","297","1979","24.375","196.519317669141"
"131","Huu-ay-aht First Nations","First Nations","48.800598145","-125.120666504","472","1979","23.2083333333333","128.001795240332"
"132","Nak'azdli","First Nations","54.431396484","-124.247497559","156","1979","23.2083333333333","147.682772240966"
"133","T'it'q'et","First Nations","50.68538061","-121.949795556","360","1979","23.2083333333333","135.167148945741"
"134","Shubenacadie","First Nations","45.095224","-63.489859","232","1979","24.5166666666667","151.611002432848"
"135","Hesquiaht","First Nations","49.367004395","-126.271972656","470","1979","23.2083333333333","119.184130518601"
"136","Mount Currie","First Nations","50.328055556","-122.676111111","192","1979","23.2083333333333","123.914119884537"
"137","Da'naxda'xw First Nation","First Nations","51.017211914","-125.612182617","194","1979","23.2083333333333","156.31450190263"
"138","Odanak","First Nations","46.073242187","-72.821899414","211","1979","23.8583333333333","133.637159266573"
